LOTE,constr.,bathroom,estac.,rec.,antiguedad,medio bathroom,Guadalajara,San Pedro Tlaquepaque,Tlajomulco de Zúñiga,Tonalá,Zapopan,venta,precio
102,150,0,3,3,10.0,1,0,0,0,0,1,0,3500000.0
208,250,0,2,4,12.0,0,0,0,0,0,1,0,41000.0
0,90,1,1,2,8.0,0,0,0,0,0,1,0,12500.0
180,180,0,2,3,30.0,0,0,0,0,0,1,0,23000.0
1000,1000,0,10,5,2.0,1,0,0,0,0,1,0,140000.0
700,415,0,3,4,45.0,1,0,0,0,0,1,0,50000.0
140,220,0,2,4,3.0,0,0,0,0,0,1,0,25000.0
100,120,0,2,3,7.0,1,0,0,0,0,1,0,14500.0
180,180,0,2,3,15.0,1,0,0,0,0,1,0,25000.0
258,258,0,2,3,5.0,0,0,0,0,0,1,0,45000.0
300,290,0,2,3,5.0,1,0,0,0,0,1,0,50000.0
2020,998,0,14,4,0.0,0,0,0,0,0,1,0,145000.0
108,105,0,2,3,0.0,1,0,0,0,0,1,0,14900.0
130,130,0,2,3,5.0,1,0,0,0,0,1,0,15000.0
206,238,0,2,3,1.0,0,0,0,0,0,1,0,32000.0
308,440,0,4,5,25.0,0,0,0,0,0,1,0,46750.0
1000,1300,0,6,5,0.0,0,0,0,0,0,1,0,130000.0
67,126,0,1,2,2.0,1,0,0,0,1,0,0,8000.0
110,145,0,2,3,0.0,0,0,0,0,1,0,0,10800.0
0,1,0,1,2,10.0,0,0,0,0,1,0,0,8100.0
77,160,0,2,3,0.0,0,0,0,0,1,0,0,7299.0
70,65,0,2,3,9.0,1,0,0,0,1,0,0,8500.0
1,1,0,1,3,0.0,1,0,0,0,1,0,0,20000.0
1,1,1,1,3,1.0,0,0,0,0,1,0,0,5500.0
120,120,0,2,3,5.0,1,0,1,0,0,0,0,14000.0
83,94,0,1,2,5.0,1,0,1,0,0,0,0,9800.0
60,62,0,1,2,19.0,0,0,1,0,0,0,0,8000.0
80,114,0,2,4,20.0,0,0,1,0,0,0,0,13500.0
97,110,0,1,3,8.0,0,0,1,0,0,0,0,13900.0
7150,125,0,2,2,0.0,1,0,1,0,0,0,0,14500.0
252,286,0,0,5,20.0,0,0,1,0,0,0,0,24999.0
